state/region,ages,year,population,state,area (sq. mi),인구밀도
RI,total,2007.0,1057315.0,Rhode Island,1545.0,684.3462783171522
RI,under18,2007.0,233655.0,Rhode Island,1545.0,151.23300970873785
RI,under18,2013.0,213987.0,Rhode Island,1545.0,138.50291262135923
RI,total,2013.0,1051511.0,Rhode Island,1545.0,680.589644012945
RI,total,2009.0,1053646.0,Rhode Island,1545.0,681.9715210355987
RI,under18,2009.0,225902.0,Rhode Island,1545.0,146.21488673139157
RI,total,2010.0,1052669.0,Rhode Island,1545.0,681.3391585760518
RI,under18,2010.0,223088.0,Rhode Island,1545.0,144.3935275080906
RI,under18,2011.0,219783.0,Rhode Island,1545.0,142.25436893203883
RI,total,2011.0,1050350.0,Rhode Island,1545.0,679.8381877022654
RI,under18,2012.0,216591.0,Rhode Island,1545.0,140.1883495145631
RI,total,2012.0,1050304.0,Rhode Island,1545.0,679.8084142394822
SC,total,2012.0,4723417.0,South Carolina,32007.0,147.57449932827194
SC,under18,2012.0,1077455.0,South Carolina,32007.0,33.66310494579311
SC,total,2011.0,4673509.0,South Carolina,32007.0,146.01521542162652
SC,under18,2011.0,1076524.0,South Carolina,32007.0,33.634017558659046
SC,under18,2010.0,1079978.0,South Carolina,32007.0,33.74193145249477
SC,total,2010.0,4636361.0,South Carolina,32007.0,144.85459430749523
SC,total,2009.0,4589872.0,South Carolina,32007.0,143.402130783891
SC,under18,2009.0,1079729.0,South Carolina,32007.0,33.73415190427094
SC,total,2013.0,4774839.0,South Carolina,32007.0,149.18108538757147
SC,under18,2013.0,1079798.0,South Carolina,32007.0,33.73630768269441
SC,total,2007.0,4444110.0,South Carolina,32007.0,138.8480644858937
SC,under18,2007.0,1064190.0,South Carolina,32007.0,33.248664354672414
SC,total,2008.0,4528996.0,South Carolina,32007.0,141.50017183741056
SC,under18,2008.0,1074116.0,South Carolina,32007.0,33.5587840159965
SC,total,2006.0,4357847.0,South Carolina,32007.0,136.15293529540412
SC,under18,2006.0,1050042.0,South Carolina,32007.0,32.80663604836442
SC,total,2005.0,4270150.0,South Carolina,32007.0,133.41300340550504
SC,under18,2005.0,1036941.0,South Carolina,32007.0,32.397319336395164
SC,total,2003.0,4150297.0,South Carolina,32007.0,129.6684162839379
SC,under18,2003.0,1023785.0,South Carolina,32007.0,31.986284250320242
SC,total,2004.0,4210921.0,South Carolina,32007.0,131.56250195269786
SC,under18,2004.0,1029111.0,South Carolina,32007.0,32.15268535007967
SC,total,2002.0,4107795.0,South Carolina,32007.0,128.34051926141157
SC,under18,2002.0,1020531.0,South Carolina,32007.0,31.884618989596024
SC,total,2001.0,4064995.0,South Carolina,32007.0,127.0033117755491
SC,under18,2001.0,1016134.0,South Carolina,32007.0,31.747242790639547
SC,total,1999.0,3974682.0,South Carolina,32007.0,124.1816477645515
SC,under18,1999.0,1007050.0,South Carolina,32007.0,31.463429874714905
SC,total,2000.0,4024223.0,South Carolina,32007.0,125.72946542943731
SC,under18,2000.0,1010641.0,South Carolina,32007.0,31.57562408223201
SC,total,1997.0,3859696.0,South Carolina,32007.0,120.58912112975287
SC,under18,1997.0,1001681.0,South Carolina,32007.0,31.295685318836505
SC,under18,1998.0,1006371.0,South Carolina,32007.0,31.44221576530134
SC,total,1998.0,3919235.0,South Carolina,32007.0,122.4493079638829
SC,under18,1996.0,987576.0,South Carolina,32007.0,30.855000468647482
SC,total,1996.0,3796200.0,South Carolina,32007.0,118.60530508951167
SC,total,1995.0,3748582.0,South Carolina,32007.0,117.117568031993
SC,under18,1995.0,975884.0,South Carolina,32007.0,30.48970537694879
SC,under18,1994.0,969766.0,South Carolina,32007.0,30.298559690067798
SC,total,1994.0,3705397.0,South Carolina,32007.0,115.76833192739089
SC,under18,1992.0,947868.0,South Carolina,32007.0,29.614396850688912
SC,total,1992.0,3620464.0,South Carolina,32007.0,113.11475614709282
SC,total,1993.0,3663314.0,South Carolina,32007.0,114.45352579123316
SC,under18,1993.0,956951.0,South Carolina,32007.0,29.898178523447996
SC,total,1991.0,3570404.0,South Carolina,32007.0,111.55072327928265
SC,under18,1991.0,936122.0,South Carolina,32007.0,29.247414628050112
SC,under18,1990.0,921041.0,South Carolina,32007.0,28.77623644827694
SC,total,1990.0,3501155.0,South Carolina,32007.0,109.38716530758896
SD,under18,1990.0,199453.0,South Dakota,77121.0,2.5862346183270444
SD,total,1990.0,697101.0,South Dakota,77121.0,9.039055510172327
SD,total,1991.0,703669.0,South Dakota,77121.0,9.124220380959791
SD,under18,1991.0,201749.0,South Dakota,77121.0,2.616006016519495
SD,total,1993.0,722160.0,South Dakota,77121.0,9.363986462831136
SD,under18,1993.0,207975.0,South Dakota,77121.0,2.696736297506516
SD,under18,1992.0,206632.0,South Dakota,77121.0,2.679322104225827
SD,total,1992.0,712801.0,South Dakota,77121.0,9.242631708613738
SD,under18,1994.0,208443.0,South Dakota,77121.0,2.702804683549228
SD,total,1994.0,730790.0,South Dakota,77121.0,9.475888538789695
SD,total,1995.0,737926.0,South Dakota,77121.0,9.56841845930421
SD,under18,1995.0,207890.0,South Dakota,77121.0,2.6956341333748264
SD,under18,1996.0,205780.0,South Dakota,77121.0,2.6682745296352484
SD,total,1996.0,742214.0,South Dakota,77121.0,9.624019398088718
SD,under18,1998.0,204786.0,South Dakota,77121.0,2.655385692612907
SD,total,1998.0,746059.0,South Dakota,77121.0,9.673876116751599
SD,total,1997.0,744223.0,South Dakota,77121.0,9.650069371507112
SD,under18,1997.0,205978.0,South Dakota,77121.0,2.670841923730242
SD,total,2000.0,755844.0,South Dakota,77121.0,9.800754658264285
